id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
476,Eric Gordon,34,22,11,547,81,175,0.463,47,111,0.423,34,64,0.531,0.597,32,38,0.842,4,33,37,47,13,8,21,33,241,LAC,2023
615,Eric Gordon,33,57,46,1669,268,564,0.475,124,301,0.412,144,263,0.548,0.585,105,135,0.778,15,98,113,154,28,18,107,63,765,HOU,2022
1334,Eric Gordon,32,27,13,789,159,367,0.433,69,210,0.329,90,157,0.573,0.527,94,114,0.825,8,50,58,71,14,13,51,44,481,HOU,2021
1958,Eric Gordon,31,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.766,9,62,71,54,23,13,43,70,520,HOU,2020
2545,Eric Gordon,30,68,53,2158,384,938,0.409,216,600,0.36,168,338,0.497,0.525,119,152,0.783,17,131,148,129,41,27,90,143,1103,HOU,2019
3167,Eric Gordon,29,69,30,2154,415,970,0.428,218,608,0.359,197,362,0.544,0.54,195,241,0.809,25,145,170,154,44,27,130,116,1243,HOU,2018
3771,Eric Gordon,28,75,15,2323,412,1016,0.406,246,661,0.372,166,355,0.468,0.527,147,175,0.84,29,172,201,188,48,41,121,150,1217,HOU,2017
4445,Eric Gordon,27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,NOP,2016
4981,Eric Gordon,26,61,60,2018,285,694,0.411,141,315,0.448,144,379,0.38,0.512,107,133,0.805,28,131,159,229,50,14,122,145,818,NOP,2015
5550,Eric Gordon,25,64,64,2057,356,817,0.436,101,258,0.391,255,559,0.456,0.498,175,223,0.785,30,135,165,208,74,12,134,114,988,NOP,2014
6100,Eric Gordon,24,42,40,1264,235,584,0.402,56,173,0.324,179,411,0.436,0.45,187,222,0.842,10,67,77,137,45,8,117,75,713,NOH,2013
6623,Eric Gordon,23,9,9,310,63,140,0.45,10,40,0.25,53,100,0.53,0.486,49,65,0.754,2,23,25,31,13,4,24,20,185,NOH,2012
7417,Eric Gordon,22,56,56,2112,427,949,0.45,106,291,0.364,321,658,0.488,0.506,287,348,0.825,45,119,164,244,71,18,151,115,1247,LAC,2011
7941,Eric Gordon,21,62,60,2229,352,784,0.449,119,321,0.371,233,463,0.503,0.525,222,299,0.742,25,135,160,186,69,14,144,96,1045,LAC,2010
8444,Eric Gordon,20,78,65,2677,411,901,0.456,131,337,0.389,280,564,0.496,0.529,299,350,0.854,45,156,201,215,78,35,164,172,1252,LAC,2009
429,Devin Booker,26,53,53,1835,527,1067,0.494,111,316,0.351,416,751,0.554,0.546,306,358,0.855,46,194,240,293,51,18,145,159,1471,PHO,2023
1122,Devin Booker,25,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,PHO,2022
1773,Devin Booker,24,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,PHO,2021
2361,Devin Booker,23,70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,PHO,2020
2981,Devin Booker,22,64,64,2242,586,1255,0.467,135,414,0.326,451,841,0.536,0.521,393,454,0.866,39,226,265,433,56,13,264,200,1700,PHO,2019
3596,Devin Booker,21,54,54,1865,455,1054,0.432,147,384,0.383,308,670,0.46,0.501,289,329,0.878,26,218,244,253,47,14,194,168,1346,PHO,2018
4152,Devin Booker,20,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,PHO,2017
4679,Devin Booker,19,76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,PHO,2016
309,Grayson Allen,27,72,70,1972,245,557,0.44,146,366,0.399,99,191,0.518,0.571,114,126,0.905,61,176,237,163,62,14,72,117,750,MIL,2023
967,Grayson Allen,26,66,61,1805,255,569,0.448,159,389,0.409,96,180,0.533,0.588,64,74,0.865,32,190,222,100,46,18,43,96,733,MIL,2022
1473,Grayson Allen,25,50,38,1259,173,414,0.418,107,274,0.391,66,140,0.471,0.547,79,91,0.868,19,141,160,108,46,8,48,71,532,MEM,2021
2077,Grayson Allen,24,38,0,718,117,251,0.466,57,141,0.404,60,110,0.545,0.58,39,45,0.867,8,77,85,52,10,2,33,53,330,MEM,2020
2826,Grayson Allen,23,38,2,416,67,178,0.376,32,99,0.323,35,79,0.443,0.466,45,60,0.75,3,20,23,25,6,6,33,47,211,UTA,2019
287,Drew Eubanks,25,78,28,1584,214,334,0.641,7,18,0.389,207,316,0.655,0.651,83,125,0.664,132,286,418,103,40,102,67,169,518,POR,2023
833,Drew Eubanks,24,49,9,595,84,159,0.528,1,8,0.125,83,151,0.55,0.531,59,79,0.747,64,132,196,50,13,30,46,61,228,SAS,2022
947,Drew Eubanks,24,22,22,650,137,212,0.646,4,15,0.267,133,197,0.675,0.656,40,51,0.784,66,120,186,35,18,10,35,61,318,POR,2022
1534,Drew Eubanks,23,54,3,755,116,205,0.566,2,2,1.0,114,203,0.562,0.571,77,106,0.726,74,167,241,42,18,49,45,88,311,SAS,2021
2136,Drew Eubanks,22,22,3,272,43,67,0.642,1,1,1.0,42,66,0.636,0.649,20,26,0.769,28,57,85,15,5,17,21,37,107,SAS,2020
2755,Drew Eubanks,21,23,0,113,15,26,0.577,0,0,,15,26,0.577,0.577,11,13,0.846,6,28,34,7,2,5,8,11,41,SAS,2019
